deviceid,newsid,guid,pos,app_version,device_vendor,netmodel,osversion,lng,lat,device_version,lng_lat,deviceid_newsid_mode,deviceid_pos_mode,deviceid_app_version_mode,deviceid_device_vendor_mode,deviceid_netmodel_mode,deviceid_osversion_mode,deviceid_lng_mode,deviceid_lat_mode,deviceid_device_version_mode,deviceid_lng_lat_mode,app_version_count,app_version_deviceid_count_ratio,day_minute,day_second,device_vendor_count,device_vendor_deviceid_count_ratio,device_version_count,device_version_deviceid_count_ratio,deviceid_app_version_count,deviceid_app_version_count_ratio,deviceid_app_version_ent,deviceid_app_version_mode_count,deviceid_app_version_nunique,deviceid_app_version_nunique_ratio_deviceid_count,deviceid_before_count,deviceid_count,deviceid_day_count,deviceid_day_hour_count,deviceid_device_vendor_count,deviceid_device_vendor_count_ratio,deviceid_device_vendor_ent,deviceid_device_vendor_mode_count,deviceid_device_vendor_nunique,deviceid_device_vendor_nunique_ratio_deviceid_count,deviceid_device_version_count,deviceid_device_version_count_ratio,deviceid_device_version_ent,deviceid_device_version_mode_count,deviceid_device_version_nunique,deviceid_device_version_nunique_ratio_deviceid_count,deviceid_first_exposure_ts_gap,deviceid_hour_count,deviceid_last_exposure_ts_gap,deviceid_lat_count,deviceid_lat_count_ratio,deviceid_lat_ent,deviceid_lat_mode_count,deviceid_lat_nunique,deviceid_lat_nunique_ratio_deviceid_count,deviceid_lng_count,deviceid_lng_count_ratio,deviceid_lng_ent,deviceid_lng_lat_count,deviceid_lng_lat_count_ratio,deviceid_lng_lat_ent,deviceid_lng_lat_mode_count,deviceid_lng_lat_nunique,deviceid_lng_lat_nunique_ratio_deviceid_count,deviceid_lng_mode_count,deviceid_lng_nunique,deviceid_lng_nunique_ratio_deviceid_count,deviceid_netmodel_count,deviceid_netmodel_count_ratio,deviceid_netmodel_ent,deviceid_netmodel_mode_count,deviceid_netmodel_nunique,deviceid_netmodel_nunique_ratio_deviceid_count,deviceid_newsid_count,deviceid_newsid_count_ratio,deviceid_newsid_ent,deviceid_newsid_mode_count,deviceid_newsid_nunique,deviceid_newsid_nunique_ratio_deviceid_count,deviceid_next10_exposure_ts_gap,deviceid_next1_exposure_ts_gap,deviceid_next20_exposure_ts_gap,deviceid_next2_exposure_ts_gap,deviceid_next30_exposure_ts_gap,deviceid_next3_exposure_ts_gap,deviceid_next50_exposure_ts_gap,deviceid_next5_exposure_ts_gap,deviceid_next8_exposure_ts_gap,deviceid_next_exposure_ts_gap_mean,deviceid_next_total_hour_count,deviceid_osversion_count,deviceid_osversion_count_ratio,deviceid_osversion_ent,deviceid_osversion_mode_count,deviceid_osversion_nunique,deviceid_osversion_nunique_ratio_deviceid_count,deviceid_pos_count,deviceid_pos_count_ratio,deviceid_pos_ent,deviceid_pos_mode_count,deviceid_pos_nunique,deviceid_pos_nunique_ratio_deviceid_count,deviceid_prev10_exposure_ts_gap,deviceid_prev1_exposure_ts_gap,deviceid_prev20_exposure_ts_gap,deviceid_prev2_exposure_ts_gap,deviceid_prev30_exposure_ts_gap,deviceid_prev3_exposure_ts_gap,deviceid_prev50_exposure_ts_gap,deviceid_prev5_exposure_ts_gap,deviceid_prev8_exposure_ts_gap,deviceid_prev_day_click_count,deviceid_prev_day_count,deviceid_prev_day_ctr,deviceid_prev_day_exposure_click_gap_iqr,deviceid_prev_day_exposure_click_gap_kurt,deviceid_prev_day_exposure_click_gap_max,deviceid_prev_day_exposure_click_gap_mean,deviceid_prev_day_exposure_click_gap_mean_ratio_iqr,deviceid_prev_day_exposure_click_gap_mean_ratio_ptp,deviceid_prev_day_exposure_click_gap_mean_ratio_std,deviceid_prev_day_exposure_click_gap_median,deviceid_prev_day_exposure_click_gap_min,deviceid_prev_day_exposure_click_gap_ptp,deviceid_prev_day_exposure_click_gap_q1,deviceid_prev_day_exposure_click_gap_q3,deviceid_prev_day_exposure_click_gap_skew,deviceid_prev_day_exposure_click_gap_std,deviceid_prev_exposure_ts_gap_mean,deviceid_prev_total_hour_click_count,deviceid_prev_total_hour_count,deviceid_prev_total_hour_ctr,guid_count,hour,hour_second,lat_count,lat_deviceid_count_ratio,lng_count,lng_deviceid_count_ratio,lng_lat_count,lng_lat_deviceid_count_ratio,minute,netmodel_count,netmodel_deviceid_count_ratio,newsid_count,newsid_deviceid_count_ratio,osversion_count,osversion_deviceid_count_ratio,pos_count,pos_deviceid_count_ratio,second,total_hour,label
4,11,5,3,0,4,2,0,2,2,4,2,10,0,0,4,2,0,2,2,4,2,14011,1.0,1396,83816,4193,1.0,194,1.0,153,0.01092,0.0,14085,1,0.006535,18,153,53,52,153,0.0365,0,4193,1,0.006535,153,0.7886,0,194,1,0.006535,1017242,60,173119978,153,0.05713,0.0,2674,1,0.006535,153,0.05713,0.0,153,0.05713,0.0,2682,1,0.006535,2679,1,0.006535,134,0.008675,0.3752,16648,2,0.01307,1,1.0,4.957,153,145,0.9478,111321.0,40552.0,201567.0,42834.0,606491.0,56362.0,170140900.0,58847.0,81936.0,19037868.0,,153,0.01814,0.0,8475,1,0.006535,18,0.02206,1.758,7339,7,0.04575,654823.0,45921.0,,46759.0,,166145.0,,257120.0,629370.0,0.0,0.0,0.0,,,,,,,,,,,,,,,300023.0,0.0,1.0,0.0,153,23,1016,2678,1.0,2678,1.0,2678,1.0,16,15452,0.876,1,0.006535,8431,1.0,816,0.1177,56,47,0
4,12,5,1,0,4,1,0,2,2,4,2,10,0,0,4,2,0,2,2,4,2,14011,1.0,1392,83559,4193,1.0,194,1.0,153,0.01092,0.0,14085,1,0.006535,13,153,53,52,153,0.0365,0,4193,1,0.006535,153,0.7886,0,194,1,0.006535,760122,60,173377098,153,0.05713,0.0,2674,1,0.006535,153,0.05713,0.0,153,0.05713,0.0,2682,1,0.006535,2679,1,0.006535,19,0.005108,0.3752,16648,2,0.01307,1,1.0,4.957,153,145,0.9478,315967.0,676.0,435600.0,90975.0,816638.0,210361.0,158460910.0,257120.0,313482.0,17877970.0,,153,0.01814,0.0,8475,1,0.006535,29,0.007088,1.758,7339,7,0.04575,754957.0,100711.0,,102111.0,,372250.0,,397703.0,409429.0,0.0,0.0,0.0,,,,,,,,,,,,,,,356193.5,0.0,1.0,0.0,153,23,759,2678,1.0,2678,1.0,2678,1.0,12,3719,0.1242,1,0.006535,8431,1.0,4092,0.1896,39,47,0
4,13,5,3,0,4,2,0,2,2,4,2,10,0,0,4,2,0,2,2,4,2,14011,1.0,1400,84019,4193,1.0,194,1.0,153,0.01092,0.0,14085,1,0.006535,39,153,53,52,153,0.0365,0,4193,1,0.006535,153,0.7886,0,194,1,0.006535,1220641,60,172916579,153,0.05713,0.0,2674,1,0.006535,153,0.05713,0.0,153,0.05713,0.0,2682,1,0.006535,2679,1,0.006535,134,0.008675,0.3752,16648,2,0.01307,1,1.0,4.957,153,145,0.9478,405549.0,1408.0,86018696.0,314649.0,170432030.0,354707.0,170453950.0,368990.0,396598.0,47638508.0,,153,0.01814,0.0,8475,1,0.006535,18,0.02206,1.758,7339,7,0.04575,91881.0,1832.0,162847.0,2885.0,857007.0,4042.0,,22284.0,27637.0,0.0,0.0,0.0,,,,,,,,,,,,,,,146301.88,0.0,1.0,0.0,153,23,1219,2678,1.0,2678,1.0,2678,1.0,20,15452,0.876,1,0.006535,8431,1.0,816,0.1177,19,47,0
4,14,5,2,0,4,2,0,2,2,4,2,10,0,0,4,2,0,2,2,4,2,14011,1.0,1400,84021,4193,1.0,194,1.0,153,0.01092,0.0,14085,1,0.006535,40,153,53,52,153,0.0365,0,4193,1,0.006535,153,0.7886,0,194,1,0.006535,1222049,60,172915171,153,0.05713,0.0,2674,1,0.006535,153,0.05713,0.0,153,0.05713,0.0,2682,1,0.006535,2679,1,0.006535,134,0.008675,0.3752,16648,2,0.01307,1,1.0,4.957,153,145,0.9478,440053.0,313241.0,86022230.0,353299.0,170430980.0,354711.0,170453800.0,368922.0,401684.0,47682100.0,,153,0.01814,0.0,8475,1,0.006535,31,0.00483,1.758,7339,7,0.04575,59759.0,1408.0,161973.0,3240.0,834177.0,4293.0,,7383.0,28000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,137529.12,0.0,1.0,0.0,153,23,1221,2678,1.0,2678,1.0,2678,1.0,20,15452,0.876,1,0.006535,8431,1.0,6420,0.2026,21,47,0
4,15,5,0,0,4,2,0,2,2,4,2,10,0,0,4,2,0,2,2,4,2,14011,1.0,1379,82799,4193,1.0,194,1.0,153,0.01092,0.0,14085,1,0.006535,0,153,53,1,153,0.0365,0,4193,1,0.006535,153,0.7886,0,194,1,0.006535,0,88,174137220,153,0.05713,0.0,2674,1,0.006535,153,0.05713,0.0,153,0.05713,0.0,2682,1,0.006535,2679,1,0.006535,134,0.008675,0.3752,16648,2,0.01307,1,0.5,4.957,153,145,0.9478,387872.0,2039.0,1060076.0,2300.0,1162290.0,5165.0,1662102.0,350693.0,362419.0,554995.1,52.0,153,0.01814,0.0,8475,1,0.006535,43,0.00802,1.758,7339,7,0.04575,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,153,22,3599,2678,1.0,2678,1.0,2678,1.0,59,15452,0.876,2,0.006535,8431,1.0,5364,0.281,59,46,0
4,16,5,2,0,4,1,0,2,2,4,2,10,0,0,4,2,0,2,2,4,2,14011,1.0,1398,83927,4193,1.0,194,1.0,153,0.01092,0.0,14085,1,0.006535,28,153,53,52,153,0.0365,0,4193,1,0.006535,153,0.7886,0,194,1,0.006535,1128563,60,173008657,153,0.05713,0.0,2674,1,0.006535,153,0.05713,0.0,153,0.05713,0.0,2682,1,0.006535,2679,1,0.006535,19,0.005108,0.3752,16648,2,0.01307,1,1.0,4.957,153,145,0.9478,90246.0,197.0,495170.0,33727.0,86099900.0,64441.0,170534690.0,67159.0,88036.0,28608174.0,,153,0.01814,0.0,8475,1,0.006535,31,0.00483,1.758,7339,7,0.04575,111321.0,14948.0,766144.0,29385.0,,43658.0,,52474.0,68487.0,0.0,0.0,0.0,,,,,,,,,,,,,,,155202.42,0.0,1.0,0.0,153,23,1127,2678,1.0,2678,1.0,2678,1.0,18,3719,0.1242,1,0.006535,8431,1.0,6420,0.2026,47,47,0
4,17,5,4,0,4,2,0,2,2,4,2,10,0,0,4,2,0,2,2,4,2,14011,1.0,1397,83875,4193,1.0,194,1.0,153,0.01092,0.0,14085,1,0.006535,23,153,53,52,153,0.0365,0,4193,1,0.006535,153,0.7886,0,194,1,0.006535,1076089,60,173061131,153,0.05713,0.0,2674,1,0.006535,153,0.05713,0.0,153,0.05713,0.0,2682,1,0.006535,2679,1,0.006535,134,0.008675,0.3752,16648,2,0.01307,1,0.25,4.957,153,145,0.9478,119633.0,5765.0,500671.0,8816.0,26344632.0,23089.0,170583460.0,52474.0,116915.0,21972828.0,,153,0.01814,0.0,8475,1,0.006535,17,0.013504,1.758,7339,7,0.04575,315967.0,1553.0,1070924.0,2485.0,,16013.0,,58847.0,224992.0,0.0,0.0,0.0,,,,,,,,,,,,,,,241540.14,0.0,1.0,0.0,153,23,1075,2678,1.0,2678,1.0,2678,1.0,17,15452,0.876,4,0.006535,8431,1.0,1259,0.1111,55,47,0
4,20,5,0,0,4,1,0,2,2,4,2,10,0,0,4,2,0,2,2,4,2,14011,1.0,1406,84374,4193,1.0,194,1.0,153,0.01092,0.0,14085,1,0.006535,42,153,53,52,153,0.0365,0,4193,1,0.006535,153,0.7886,0,194,1,0.006535,1575348,60,172561872,153,0.05713,0.0,2674,1,0.006535,153,0.05713,0.0,153,0.05713,0.0,2682,1,0.006535,2679,1,0.006535,19,0.005108,0.3752,16648,2,0.01307,1,1.0,4.957,153,145,0.9478,211459.0,1412.0,157644500.0,14283.0,170081700.0,15623.0,170101490.0,41891.0,86754.0,55355456.0,,153,0.01814,0.0,8475,1,0.006535,43,0.00802,1.758,7339,7,0.04575,381299.0,40058.0,500812.0,353299.0,915937.0,354707.0,,357592.0,376991.0,0.0,0.0,0.0,,,,,,,,,,,,,,,410086.88,0.0,1.0,0.0,153,23,1574,2678,1.0,2678,1.0,2678,1.0,26,3719,0.1242,1,0.006535,8431,1.0,5364,0.281,14,47,0
4,21,5,0,0,4,2,0,2,2,4,2,10,0,0,4,2,0,2,2,4,2,14011,1.0,1406,84395,4193,1.0,194,1.0,153,0.01092,0.0,14085,1,0.006535,46,153,53,52,153,0.0365,0,4193,1,0.006535,153,0.7886,0,194,1,0.006535,1596248,60,172540972,153,0.05713,0.0,2674,1,0.006535,153,0.05713,0.0,153,0.05713,0.0,2682,1,0.006535,2679,1,0.006535,134,0.008675,0.3752,16648,2,0.01307,1,1.0,4.957,153,145,0.9478,85480424.0,20991.0,169348350.0,27485.0,170066740.0,29942.0,170097570.0,162227.0,84740000.0,75552640.0,,153,0.01814,0.0,8475,1,0.006535,43,0.00802,1.758,7339,7,0.04575,379649.0,5277.0,497070.0,6617.0,625765.0,19488.0,,60958.0,377439.0,0.0,0.0,0.0,,,,,,,,,,,,,,,246532.88,0.0,1.0,0.0,153,23,1595,2678,1.0,2678,1.0,2678,1.0,26,15452,0.876,1,0.006535,8431,1.0,5364,0.281,35,47,0
4,22,5,1,0,4,2,0,2,2,4,2,10,0,0,4,2,0,2,2,4,2,14011,1.0,1406,84390,4193,1.0,194,1.0,153,0.01092,0.0,14085,1,0.006535,45,153,53,52,153,0.0365,0,4193,1,0.006535,153,0.7886,0,194,1,0.006535,1590971,60,172546249,153,0.05713,0.0,2674,1,0.006535,153,0.05713,0.0,153,0.05713,0.0,2682,1,0.006535,2679,1,0.006535,134,0.008675,0.3752,16648,2,0.01307,1,1.0,4.957,153,145,0.9478,85456810.0,5277.0,169352780.0,26268.0,170071200.0,32762.0,170102200.0,71131.0,25829748.0,68994240.0,,153,0.01814,0.0,8475,1,0.006535,29,0.007088,1.758,7339,7,0.04575,376305.0,1340.0,506066.0,14211.0,739874.0,15623.0,,368922.0,373215.0,0.0,0.0,0.0,,,,,,,,,,,,,,,299444.5,0.0,1.0,0.0,153,23,1590,2678,1.0,2678,1.0,2678,1.0,26,15452,0.876,1,0.006535,8431,1.0,4092,0.1896,30,47,0
