label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
0,0.21621621621621623,0.0,0.0,0.0,0.0014428393185540857,0.000949667616334283,0.07308970099667775,0.04081632653061224,0.0019342359767891683,0.3333333333333333,0.125,0.0,0.0,11,18,0,0,1,4,25,1,1,122,77,0,62,7,84,0,8,75,0,0,0,0,0,0,0,0
1,0.0,0.00033311125916055963,0.00852575488454707,0.41379310344827586,0.009898823849424341,0.2070275403608737,0.08305647840531562,0.6530612244897959,0.18568665377176016,0.0,0.28125,0.0,0.3529411764705882,10,47,47,29,4,5,102,1,1,25,115,87,25,6,138,145,6,50,0,0,79,0,8,44,0,0
0,0.0,0.02764823451032645,0.007104795737122557,0.04597701149425287,0.9999999999999999,0.0,0.0,0.08163265306122448,0.0038684719535783366,0.0,0.0,0.0,0.0392156862745098,0,19,60,139,1,5,142,1,0,130,25,54,150,1,155,84,8,39,5,1,42,5,0,15,1,5
0,0.0,0.008327781479013991,0.0010657193605683837,0.022988505747126436,0.020095282585599596,0.0,0.0,0.6530612244897959,0.05319148936170213,0.0,0.0,0.0,0.0196078431372549,9,39,121,128,6,4,45,1,1,70,76,154,135,7,161,10,8,53,0,0,76,0,1,87,0,0
0,0.0,0.03530979347101932,0.0014209591474245115,0.011494252873563218,0.004336402323523208,0.0,0.0,0.02040816326530612,0.0009671179883945841,0.0,0.0,0.0,0.00980392156862745,0,19,166,39,1,4,109,5,1,30,140,10,18,7,45,19,5,39,5,1,88,0,7,76,1,68
1,0.13513513513513514,0.028647568287808126,0.018472468916518648,0.06896551724137931,7.095931074856159e-05,0.017094017094017096,0.09966777408637874,0.4897959183673469,0.27176015473887816,0.3333333333333333,0.15625,0.2857142857142857,0.058823529411764705,18,10,105,46,1,4,28,1,1,38,9,142,81,1,163,68,6,117,5,3,32,0,2,35,15,24
0,0.05405405405405406,0.0013324450366422385,0.0014209591474245115,0.011494252873563218,7.884367860951288e-06,0.0004748338081671415,0.006644518272425249,0.02040816326530612,0.0009671179883945841,0.3333333333333333,0.03125,0.0,0.00980392156862745,11,17,35,60,1,5,9,7,1,91,154,38,91,2,5,160,0,12,0,0,92,0,2,42,0,0
0,0.0,0.0006662225183211193,0.0017761989342806393,0.41379310344827586,0.4725121369987759,0.0,0.0,0.0,0.11895551257253385,0.0,0.0,0.0,0.6078431372549019,16,30,113,118,1,5,124,1,0,102,13,124,126,4,41,69,8,61,25,2,165,0,0,56,12,73
0,0.0,0.0016655562958027982,0.0,0.0,0.003098556569353856,0.0,0.0,0.3469387755102041,0.05319148936170213,0.0,0.0,0.0,0.0,0,49,73,154,6,4,49,1,1,30,50,143,98,2,125,38,5,92,32,3,67,0,7,37,2,7
0,0.0,0.00033311125916055963,0.0,0.0,0.0028856786371081714,0.001899335232668566,0.016611295681063124,0.061224489795918366,0.0038684719535783366,0.0,0.03125,0.0,0.0,11,18,154,133,1,1,116,0,1,30,132,157,148,1,40,142,5,106,0,0,59,0,0,83,0,0
1,0.0,0.014656895403064625,0.0007104795737122557,0.034482758620689655,0.003350856340904297,0.009971509971509971,0.019933554817275746,0.2040816326530612,0.020309477756286266,0.0,0.03125,0.0,0.06862745098039216,9,28,138,51,1,4,54,2,1,39,74,83,9,10,88,23,8,71,0,0,70,0,1,18,0,0
0,0.0,0.0006662225183211193,0.0007104795737122557,0.011494252873563218,0.005793039285833959,0.01851851851851852,0.05647840531561462,0.061224489795918366,0.42263056092843326,0.0,0.21875,0.0,0.00980392156862745,11,18,100,73,1,5,59,4,1,30,8,63,153,1,35,12,8,2,0,0,130,0,2,105,0,0
1,0.24324324324324326,0.0006662225183211193,0.0007104795737122557,0.05747126436781609,3.5479655374280795e-05,0.002374169040835708,0.029900332225913623,0.1020408163265306,0.004835589941972921,0.3333333333333333,0.03125,0.0,0.049019607843137254,9,58,69,151,1,5,43,1,1,105,96,130,15,7,13,88,0,60,0,0,108,0,0,91,0,0
0,0.0,0.0006662225183211193,0.0007104795737122557,0.1839080459770115,0.028391608667285587,0.03751187084520418,0.006644518272425249,0.32653061224489793,0.09961315280464217,0.0,0.03125,0.0,0.1568627450980392,0,18,52,105,1,4,96,7,0,47,16,153,23,4,55,157,0,93,0,0,121,5,0,2,0,0
0,0.0,0.00899400399733511,0.002486678507992895,0.011494252873563218,0.006725365785391449,0.04938271604938272,0.03322259136212625,0.04081632653061224,0.005802707930367505,0.0,0.03125,0.14285714285714285,0.00980392156862745,0,13,61,136,1,1,53,1,1,30,129,102,143,1,10,144,4,69,43,2,106,0,8,10,16,49
0,0.21621621621621623,0.0,0.02131438721136767,0.12643678160919541,2.1682011617616042e-05,0.0033238366571699905,0.029900332225913623,0.6122448979591836,0.037717601547388784,0.3333333333333333,0.0625,0.0,0.06862745098039216,5,80,140,126,1,6,5,2,1,41,114,49,155,2,49,44,8,124,26,1,145,0,0,51,17,9
0,0.0,0.0006662225183211193,0.004618117229129662,0.011494252873563218,0.006208939690499139,0.07739791073124407,0.0033222591362126247,0.02040816326530612,0.030947775628626693,0.0,0.03125,0.0,0.00980392156862745,6,71,40,82,6,4,104,1,1,30,34,56,1,7,22,3,0,30,29,2,136,5,1,107,2,78
0,0.02702702702702703,0.10093271152564957,0.025222024866785077,0.034482758620689655,0.0005321948306142119,0.00902184235517569,0.0033222591362126247,0.12244897959183673,0.0183752417794971,0.3333333333333333,0.03125,0.0,0.18627450980392157,11,48,151,27,5,6,35,7,1,69,40,93,65,7,102,107,7,3,5,1,157,0,6,33,19,17
1,0.02702702702702703,0.00033311125916055963,0.00035523978685612787,0.0,3.942183930475644e-06,0.0,0.013289036544850499,0.0,0.0,0.3333333333333333,0.0625,0.0,0.0,4,38,103,92,1,3,131,1,1,138,41,68,40,2,156,36,8,70,5,2,133,0,0,77,5,58
0,0.2972972972972973,0.08394403730846103,0.0031971580817051507,0.05747126436781609,4.139293126999426e-05,0.002849002849002849,0.11295681063122924,0.1020408163265306,0.004835589941972921,0.3333333333333333,0.125,0.0,0.049019607843137254,0,27,155,69,7,6,36,3,1,12,32,112,37,1,18,100,8,77,5,2,64,3,0,28,17,4
1,0.2702702702702703,0.0006662225183211193,0.0014209591474245115,0.04597701149425287,1.971091965237822e-06,0.0,0.03322259136212625,0.08163265306122448,0.0038684719535783366,0.3333333333333333,0.03125,0.0,0.0,1,30,10,44,6,6,163,1,1,113,117,33,157,1,150,65,8,61,9,3,137,0,8,62,1,61
0,0.0,0.0,0.00035523978685612787,0.26436781609195403,0.006246390437838658,0.0698005698005698,0.20598006644518274,0.0,0.7282398452611218,0.0,0.28125,0.14285714285714285,0.38235294117647056,0,56,72,1,1,4,52,2,1,107,139,44,93,7,114,16,6,11,3,3,12,0,0,84,12,70
0,0.0,0.011992005329780148,0.004618117229129662,0.05747126436781609,0.009735223216309602,0.06647673314339982,0.0033222591362126247,0.44897959183673464,0.05899419729206963,0.0,0.03125,0.0,0.10784313725490197,0,30,61,136,9,4,37,1,1,36,18,102,140,1,65,144,7,91,43,2,106,0,0,10,16,49
0,0.0,0.0006662225183211193,0.004618117229129662,0.022988505747126436,0.11799942049896221,0.13865147198480532,0.0,0.04081632653061224,0.08413926499032882,0.0,0.0,0.0,0.0196078431372549,11,13,130,155,5,0,3,7,0,40,88,62,100,7,104,99,0,69,18,2,33,0,0,35,17,24
1,0.0,0.00033311125916055963,0.0,0.011494252873563218,0.03298031076235924,0.000949667616334283,0.0033222591362126247,0.02040816326530612,0.0009671179883945841,0.0,0.03125,0.0,0.00980392156862745,14,40,56,34,1,5,81,1,1,112,42,161,139,1,144,148,7,123,5,2,63,0,0,122,16,18
1,0.0,0.0709526982011992,0.0,0.0,0.0032168220872681253,0.0308641975308642,0.07973421926910298,0.02040816326530612,0.109284332688588,0.0,0.1875,0.0,0.0,21,66,51,24,1,4,11,2,1,18,2,50,124,3,117,134,8,112,0,0,17,0,1,99,0,0
0,0.2702702702702703,0.003997335109926716,0.0010657193605683837,0.034482758620689655,0.0020223403563340053,0.0014245014245014246,0.292358803986711,0.061224489795918366,0.12669245647969052,0.3333333333333333,0.46875,0.0,0.029411764705882353,18,10,93,33,1,0,172,1,1,67,11,42,137,7,143,51,3,117,24,3,101,0,6,79,15,21
0,0.0,0.001998667554963358,0.007815275310834813,0.05747126436781609,0.020349553449115272,0.0,0.0,0.1020408163265306,0.012572533849129593,0.0,0.0,0.0,0.049019607843137254,24,25,34,62,6,3,67,2,1,30,100,82,110,2,164,130,5,13,5,1,109,0,7,114,16,88
0,0.0,0.2598267821452365,0.00035523978685612787,0.011494252873563218,0.0013324581685007675,0.0,0.0,0.08163265306122448,0.0038684719535783366,0.0,0.0,0.0,0.00980392156862745,11,84,104,71,1,4,74,1,1,30,20,76,149,1,121,167,7,7,18,3,114,3,2,35,11,24
0,0.0,0.05996002664890073,0.0216696269982238,0.0,0.0065361409567286175,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,25,18,25,122,5,4,97,8,1,131,146,11,160,2,8,62,1,9,0,0,147,0,0,116,0,0
0,0.02702702702702703,0.0006662225183211193,0.0017761989342806393,0.08045977011494253,0.0024402118529644233,0.00617283950617284,0.029900332225913623,0.3061224489795918,0.086073500967118,0.0,0.09375,0.0,0.06862745098039216,16,5,114,76,1,4,114,4,1,10,155,150,151,5,141,132,6,45,37,1,60,5,3,12,16,59
0,0.05405405405405406,0.024317121918720853,0.007104795737122557,0.12643678160919541,7.884367860951288e-06,0.0052231718898385565,0.07973421926910298,0.2857142857142857,0.06673114119922631,0.3333333333333333,0.21875,0.0,0.10784313725490197,0,5,75,12,1,4,46,1,1,83,161,52,103,7,57,136,4,40,26,3,97,0,6,35,16,24
0,0.0,0.019320453031312457,0.02131438721136767,0.22988505747126436,0.023381092891651044,0.009496676163342831,0.0033222591362126247,0.3877551020408163,0.019342359767891684,0.0,0.03125,0.0,0.19607843137254902,10,30,21,153,4,0,80,1,1,30,119,147,43,7,91,110,7,61,5,2,107,0,0,106,11,40
0,0.10810810810810811,0.0006662225183211193,0.010301953818827708,0.3448275862068966,0.00022076230010663605,0.014245014245014245,0.08970099667774087,0.673469387755102,0.13926499032882012,0.6666666666666666,0.125,0.0,0.29411764705882354,0,35,102,67,6,3,151,7,1,98,67,156,35,0,147,164,8,95,5,2,36,0,0,74,11,65
0,0.05405405405405406,0.0016655562958027982,0.018827708703374777,0.16091954022988506,0.002954666855891495,0.009496676163342831,0.036544850498338874,0.3877551020408163,0.09477756286266925,0.0,0.09375,1.0,0.13725490196078433,12,13,126,124,1,0,71,1,1,65,0,81,13,12,44,118,6,69,18,3,104,0,0,35,17,24
0,0.0,0.001998667554963358,0.0010657193605683837,0.05747126436781609,0.03430685565496429,0.0,0.0,0.16326530612244897,0.007736943907156673,0.0,0.0,0.0,0.058823529411764705,0,72,89,132,5,5,144,7,1,30,57,17,107,1,119,33,5,38,5,1,141,0,7,71,9,29
0,0.0,0.01665556295802798,0.00035523978685612787,0.011494252873563218,0.006141922563681053,0.03418803418803419,0.009966777408637873,0.02040816326530612,0.04642166344294004,0.0,0.03125,0.0,0.00980392156862745,13,16,19,25,1,4,63,12,1,30,69,137,109,2,66,6,8,122,0,0,66,0,3,104,0,0
0,0.0,0.9546968687541639,0.00817051509769094,0.0,0.04648623290816879,0.0,0.0,0.04081632653061224,0.045454545454545456,0.0,0.0,0.0,0.0196078431372549,0,0,145,70,1,4,41,1,1,7,37,58,10,2,53,94,1,74,5,1,111,0,2,55,17,31
0,0.0,0.039973351099267154,0.0014209591474245115,0.04597701149425287,0.026664932105737255,0.0,0.0,0.14285714285714285,0.033849129593810444,0.0,0.0,0.0,0.0392156862745098,14,18,71,130,1,4,100,1,1,54,156,72,39,8,142,139,0,32,0,0,158,0,1,110,0,0
0,0.0,0.008660892738174551,0.0017761989342806393,0.04597701149425287,0.0,0.0,0.0,0.08163265306122448,0.0038684719535783366,0.0,0.0,0.0,0.00980392156862745,11,42,46,31,2,4,153,1,1,30,33,148,127,2,116,46,1,76,5,1,49,5,9,63,1,55
0,0.05405405405405406,0.06029313790806129,0.03339253996447602,0.08045977011494253,0.0002976348867509111,0.01804368471035138,0.006644518272425249,0.6122448979591836,0.025145067698259187,0.3333333333333333,0.03125,0.0,0.24509803921568626,10,26,33,19,1,5,85,1,1,31,135,75,158,7,30,115,8,15,0,0,74,0,0,91,0,0
0,0.0,0.000999333777481679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,18,45,81,2,6,133,1,0,30,162,132,53,7,77,34,2,84,0,0,24,0,7,65,0,0
0,0.0,0.00033311125916055963,0.0031971580817051507,0.0,0.03529634382151368,0.02801519468186135,0.006644518272425249,0.0,0.09477756286266925,0.0,0.03125,0.0,0.0,11,46,131,76,1,6,51,1,1,74,122,35,30,7,109,141,8,1,5,1,90,0,0,12,16,60
0,0.1891891891891892,0.028314457028647568,0.0,0.08045977011494253,1.971091965237822e-05,0.002849002849002849,0.09634551495016612,0.836734693877551,0.27852998065764023,0.3333333333333333,0.125,0.0,0.049019607843137254,0,18,90,149,1,4,50,1,1,77,103,30,138,1,145,15,8,43,0,0,146,0,2,82,0,0
0,0.0,0.00033311125916055963,0.00035523978685612787,0.0,0.007227994236527093,0.019943019943019943,0.006644518272425249,0.6122448979591836,0.035783365570599614,0.0,0.03125,0.14285714285714285,0.0,0,84,95,15,1,4,137,1,1,37,110,18,63,7,25,17,6,7,4,3,20,0,6,17,16,87
0,0.13513513513513514,0.0006662225183211193,0.01634103019538188,0.06896551724137931,0.0020617621956387617,0.05318138651471985,0.016611295681063124,0.8775510204081632,0.10735009671179883,0.3333333333333333,0.03125,0.0,0.058823529411764705,0,30,165,147,1,6,26,1,1,111,131,131,58,1,150,41,8,61,27,2,143,5,2,35,1,35
0,0.0,0.002664890073284477,0.0014209591474245115,0.034482758620689655,0.14824779779750183,0.0,0.0,0.061224489795918366,0.0029013539651837525,0.0,0.0,0.0,0.029411764705882353,16,0,1,129,1,4,92,1,0,120,54,145,133,1,110,81,1,74,5,1,87,0,1,45,16,77
1,0.0,0.01832111925383078,0.00035523978685612787,0.011494252873563218,0.0,0.0,0.0,0.02040816326530612,0.0009671179883945841,0.0,0.0,0.0,0.00980392156862745,11,18,13,116,10,0,159,1,0,30,72,79,93,7,4,57,2,48,0,0,116,0,0,60,0,0
0,0.0,0.00033311125916055963,0.012078152753108348,0.034482758620689655,0.0,0.0,0.0,0.061224489795918366,0.0029013539651837525,0.0,0.0,0.0,0.029411764705882353,11,13,36,18,1,0,108,1,0,30,164,129,72,7,104,54,2,69,24,3,129,0,0,46,17,33
1,0.0,0.0006662225183211193,0.00035523978685612787,0.0,0.01540211261636834,0.05650522317188984,0.0033222591362126247,0.3877551020408163,0.029013539651837523,0.0,0.03125,0.0,0.0,0,46,158,151,1,6,55,1,1,30,125,70,67,2,9,88,7,1,5,1,108,0,0,91,16,50
0,0.05405405405405406,0.001998667554963358,0.003907637655417406,0.10344827586206896,4.730620716570772e-05,0.004273504273504274,0.3654485049833887,0.18367346938775508,0.14313346228239845,0.3333333333333333,0.3125,0.0,0.08823529411764705,20,54,120,121,3,5,128,5,1,117,141,36,22,2,108,120,6,47,5,1,22,5,3,32,16,56
0,0.0,0.006662225183211193,0.00035523978685612787,0.011494252873563218,0.014735883532117957,0.004273504273504274,0.029900332225913623,0.02040816326530612,0.008704061895551257,0.0,0.03125,0.0,0.00980392156862745,16,32,50,94,1,5,129,1,1,114,138,73,84,1,73,129,8,87,0,0,151,0,0,49,0,0
0,0.10810810810810811,0.00033311125916055963,0.04653641207815275,0.011494252873563218,0.0,0.0004748338081671415,0.046511627906976744,0.2040816326530612,0.03868471953578337,0.3333333333333333,0.09375,0.0,0.0,0,46,18,151,1,6,13,2,1,84,105,70,47,2,9,88,8,1,5,1,108,3,6,91,16,50
1,0.0,0.001998667554963358,0.0007104795737122557,0.011494252873563218,0.003007886338952916,0.0014245014245014246,0.029900332225913623,0.04081632653061224,0.0019342359767891683,0.0,0.03125,0.0,0.00980392156862745,0,18,63,79,1,6,24,2,1,132,64,107,82,7,98,45,8,4,0,0,16,5,1,86,0,0
0,0.02702702702702703,0.0006662225183211193,0.0017761989342806393,0.20689655172413793,0.0009362686834879654,0.029914529914529916,0.04983388704318937,0.08163265306122448,0.776595744680851,0.3333333333333333,0.125,0.0,0.6176470588235294,0,22,78,110,0,4,48,5,1,88,124,121,45,1,154,21,8,113,5,1,11,0,0,94,7,30
0,0.0,0.0006662225183211193,0.00035523978685612787,0.20689655172413793,0.021270053396881337,0.0,0.0,0.02040816326530612,0.27176015473887816,0.0,0.0,0.0,0.1764705882352941,0,28,138,51,6,4,31,7,1,14,4,83,33,6,139,23,1,71,0,0,70,3,1,18,0,0
0,0.02702702702702703,0.0,0.0,0.0,0.00104073655764557,0.007122507122507123,0.026578073089700997,0.04081632653061224,0.5657640232108317,0.3333333333333333,0.125,0.0,0.0,0,89,42,90,3,0,174,1,1,17,113,141,6,7,93,7,8,35,2,3,72,0,0,29,7,13
0,0.0,0.006329113924050634,0.0031971580817051507,0.0,0.0,0.0,0.0,0.14285714285714285,0.015473887814313346,0.0,0.0,0.0,0.06862745098039216,11,18,26,32,1,5,108,12,0,30,164,138,72,2,92,151,2,19,0,0,2,3,3,102,0,0
0,0.0,0.001998667554963358,0.0,0.14942528735632182,0.020631419600144283,0.08072174738841406,0.013289036544850499,0.26530612244897955,0.09284332688588008,0.0,0.03125,0.0,0.12745098039215685,21,45,7,117,0,4,130,4,1,106,85,104,136,7,120,43,8,37,0,0,156,0,0,32,0,0
1,0.0,0.00932711525649567,0.0,0.0,0.05470371531124527,0.0,0.0,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0,90,135,96,1,4,94,0,1,134,44,113,7,7,64,96,7,82,0,0,164,3,1,101,0,0
0,0.0,0.01665556295802798,0.0,0.0,0.0073561152142675515,0.009496676163342831,0.0033222591362126247,0.061224489795918366,0.019342359767891684,0.0,0.03125,0.0,0.0,3,5,58,103,1,0,99,1,1,79,35,155,130,7,57,165,7,40,5,2,118,0,0,35,13,24
1,0.02702702702702703,0.006662225183211193,0.0063943161634103015,0.1839080459770115,0.0003508543698123323,0.015194681861348529,0.11295681063122924,0.6938775510204082,0.19342359767891684,0.0,0.28125,0.0,0.1568627450980392,0,87,87,115,1,3,62,18,1,32,84,140,80,7,6,63,8,79,5,3,112,2,0,117,13,36
1,0.0,0.0006662225183211193,0.0007104795737122557,0.05747126436781609,0.013034831166117717,0.04938271604938272,0.0033222591362126247,0.3469387755102041,0.07156673114119923,0.0,0.03125,0.0,0.049019607843137254,16,53,0,0,1,4,70,1,1,30,94,0,70,4,1,0,7,62,0,0,0,0,0,0,0,0
0,0.0,0.0006662225183211193,0.0,0.0,0.05738045820003823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,36,146,117,4,0,86,7,1,127,22,152,123,7,82,87,8,20,0,0,1,4,0,32,0,0
0,0.0,0.019653564290473016,0.0,0.22988505747126436,0.042691880875085984,0.4905033238366572,0.029900332225913623,0.02040816326530612,0.14603481624758222,0.0,0.0625,0.0,0.4215686274509804,0,46,0,0,1,4,78,7,1,118,30,0,69,1,159,0,8,121,5,1,0,0,1,0,16,1
0,0.0,0.003997335109926716,0.003907637655417406,0.05747126436781609,0.00852497274965358,0.028964862298195632,0.013289036544850499,0.2857142857142857,0.06576402321083172,0.0,0.0625,0.0,0.049019607843137254,11,79,164,23,1,4,23,7,1,133,147,159,112,7,103,39,1,101,5,1,38,0,1,36,2,76
1,0.0,0.8530979347101932,0.0007104795737122557,0.0,0.12526683657479407,0.18898385565052234,0.0,0.14285714285714285,0.11798839458413926,0.0,0.0,0.0,0.00980392156862745,18,20,109,50,1,5,15,8,0,82,136,94,64,1,67,152,7,110,5,1,99,0,8,85,2,83
0,0.0,0.010326449033977348,0.0007104795737122557,0.1724137931034483,0.005345601409724973,0.09971509971509972,0.016611295681063124,0.8775510204081632,0.23404255319148937,0.0,0.0625,0.0,0.14705882352941177,0,11,29,104,1,6,68,1,1,44,99,25,156,4,14,80,8,24,5,2,100,0,0,95,1,39
0,0.0,0.01665556295802798,0.0,0.034482758620689655,0.0034139312837919073,0.009496676163342831,0.0033222591362126247,0.2857142857142857,0.015473887814313346,0.0,0.03125,0.0,0.029411764705882353,16,82,49,14,1,5,1,1,1,56,101,19,118,2,74,76,8,108,0,0,54,0,0,67,0,0
0,0.0,0.0,0.0,0.0,0.0007036798315899024,0.0,0.0,0.2040816326530612,0.010638297872340425,0.0,0.0,0.0,0.0,11,23,31,36,1,4,119,1,1,103,45,16,152,1,153,55,8,80,5,1,128,0,0,12,16,17
0,0.05405405405405406,0.002664890073284477,0.0,0.25287356321839083,7.293040271379941e-05,0.010446343779677113,0.013289036544850499,0.02040816326530612,0.13056092843326886,0.3333333333333333,0.09375,0.0,0.21568627450980393,17,67,152,3,1,4,132,7,1,6,24,43,87,1,79,29,8,21,0,0,105,0,1,8,0,0
0,0.0,0.022984676882078614,0.00035523978685612787,0.011494252873563218,0.04831737734387473,0.020417853751187084,0.013289036544850499,0.24489795918367346,0.059961315280464215,0.0,0.03125,0.0,0.00980392156862745,26,46,0,0,1,3,170,2,1,109,7,0,159,7,51,0,8,121,5,1,0,0,0,0,16,69
1,0.0,0.10159893404397069,0.00035523978685612787,0.0,0.02680487963526914,0.0,0.0033222591362126247,0.0,0.0,0.0,0.03125,0.0,0.0,11,3,77,49,1,6,138,1,1,64,29,158,119,1,89,72,4,109,5,1,152,0,0,78,1,17
0,0.0,0.000999333777481679,0.0014209591474245115,0.08045977011494253,0.003090672201492905,0.03323836657169991,0.013289036544850499,0.8571428571428571,0.11315280464216634,0.0,0.03125,0.0,0.3529411764705882,23,69,4,131,1,1,42,1,1,137,111,1,32,1,33,74,8,31,0,0,148,0,1,91,0,0
0,0.0,0.00033311125916055963,0.0010657193605683837,0.022988505747126436,0.0,0.0,0.0,0.061224489795918366,0.012572533849129593,0.0,0.0,0.0,0.0196078431372549,0,18,147,75,1,4,154,1,0,30,70,47,68,1,126,9,2,118,0,0,84,0,7,100,0,0
0,0.0,0.00033311125916055963,0.0017761989342806393,0.011494252873563218,0.0034513820311314262,0.017568850902184237,0.0033222591362126247,0.16326530612244897,0.010638297872340425,0.0,0.03125,0.0,0.00980392156862745,16,5,167,86,1,5,90,18,1,63,83,136,154,2,148,5,8,40,5,3,149,0,2,35,15,24
1,0.08108108108108109,0.007661558960692871,0.002486678507992895,0.10344827586206896,0.000530223738648974,0.0052231718898385565,0.03986710963455149,0.3061224489795918,0.5541586073500967,0.3333333333333333,0.21875,0.0,0.08823529411764705,0,33,23,78,1,1,89,11,1,26,59,80,34,4,29,90,8,97,5,1,7,0,0,32,17,51
1,0.0,0.0006662225183211193,0.0,0.0,0.028476365621790813,0.1557454890788224,0.04983388704318937,0.0,0.41779497098646035,0.0,0.28125,0.0,0.0,10,12,55,35,1,5,106,1,1,97,53,106,83,1,12,86,4,67,0,0,154,0,2,98,0,0
0,0.0,0.0006662225183211193,0.0014209591474245115,0.011494252873563218,0.4633347328086286,0.0,0.0,0.061224489795918366,0.0009671179883945841,0.0,0.0,0.0,0.00980392156862745,9,63,68,45,1,3,103,1,0,139,118,53,115,7,157,124,8,6,0,0,163,0,0,20,0,0
